task,model,eval_type,cv_accuracy_mean,cv_accuracy_std,cv_f1_macro_mean,cv_f1_macro_std,cv_f1_weighted_mean,cv_f1_weighted_std,cv_precision_macro_mean,cv_precision_macro_std,cv_recall_macro_mean,cv_recall_macro_std
binary_fs_wrapper,MLP,cv,0.7164862276144313,0.014117809903474934,0.7162718980132887,0.01409894613278676,0.7162589570980787,0.014112398132133918,0.7172371668469575,0.014187715971291684,0.716533657182512,0.014068743631403837
binary_fs_wrapper,Stacking,cv,0.7202798014686673,0.012071662530118333,0.7199363290738093,0.012111091989189018,0.719920881796819,0.012112633030484429,0.7214697592628633,0.01208043310338261,0.7203388850335415,0.01206688559107632
binary_fs_embedded,LogisticRegression,cv,0.6981830319565785,0.012294381564958498,0.6975269055972578,0.012344453709140705,0.6975316579893832,0.01233455303029486,0.6999092536842217,0.012524551559212125,0.6981725653481379,0.012323258279617002
binary_fs_embedded,RandomForest,cv,0.6775955649725712,0.019323133956652423,0.6774045681287164,0.019477383787723856,0.6773904619772779,0.019479311611196252,0.678043077442539,0.01905543555916892,0.6776428406199397,0.01931692298980585
binary_fs_embedded,GradientBoosting,cv,0.7019998258497083,0.016942209534513537,0.7015726025830066,0.016775849324073562,0.7015737462486873,0.016770443014517716,0.703237947929552,0.017556893975862145,0.702000925283368,0.01695614907594436
binary_fs_embedded,XGBoost,cv,0.6745276173337591,0.015264281070378336,0.6741126539795651,0.015432636827615106,0.6741142594502995,0.015438063688330467,0.675371143595477,0.01494548578148543,0.6745257922738839,0.015248834130842832
binary_fs_embedded,SVM,cv,0.6936028792848228,0.03905430856837575,0.6932884079160294,0.039327488672483264,0.6932804017589431,0.039327967257276275,0.6942764900956824,0.03877201834803392,0.6936328938237336,0.03905325796378152
binary_fs_embedded,MLP,cv,0.7027602821234725,0.02121003238143712,0.7020243925181846,0.021479968395107157,0.7020261736007132,0.021479134283604668,0.7046938026432382,0.020787616717272764,0.7027585010409438,0.021210938718477804
binary_fs_embedded,Stacking,cv,0.698931878210896,0.033844298967457664,0.6986989669936543,0.03401506650930305,0.6986888896583308,0.03401268329612739,0.699520106687718,0.0336817485969368,0.6989706222530649,0.03385567621165849
3class_balanced_baseline,LogisticRegression,cv,0.5678199285983805,0.024074197346959238,0.5332020694084434,0.02885546572606533,0.5664212391173746,0.022826138651995932,0.5294943758753121,0.028670958643261402,0.5480822911050425,0.028530326890234017
3class_balanced_baseline,RandomForest,cv,0.6158360665254115,0.020980515820975442,0.5754630842576247,0.029269808261807802,0.6102769608795059,0.023609439842438726,0.5766227918477131,0.029708475326680604,0.5791837896936011,0.027046142130893604
3class_balanced_baseline,GradientBoosting,cv,0.6151017327954025,0.008540718086050768,0.553932480167117,0.017505056731995587,0.592601349518563,0.014776899421020605,0.5879410820119051,0.021515407219938457,0.5485442026026568,0.015120450271014458
3class_balanced_baseline,XGBoost,cv,0.5907148869474357,0.02760479340259106,0.5463519292696776,0.029181385076902634,0.5821823222772415,0.027326613474459655,0.5597906380440947,0.03222383046781283,0.5411187451394599,0.028049429042652223
3class_balanced_baseline,SVM,cv,0.5731866600876556,0.015547719133560463,0.5437064354889374,0.01573686121421895,0.5730994018431316,0.016191501871675895,0.5380118738333304,0.015763706914950527,0.5618390880415103,0.010850136000525746
3class_balanced_baseline,MLP,cv,0.5922328969901025,0.006323715525199898,0.5183041407855056,0.008455839213607015,0.5622529347175487,0.0055016362741388625,0.5532538361769215,0.01519496071932379,0.5205693538261447,0.014300662239535052
3class_balanced_baseline,Stacking,cv,0.5983223521899399,0.014597703758994546,0.5688504887514412,0.01649747222804615,0.5983381062648199,0.01450916458813406,0.5634422845673198,0.01691530460685039,0.5815598532163982,0.01613608268352177
3class_balanced_fs_filter,LogisticRegression,cv,0.5746930601108756,0.011501072140881734,0.5365389789038046,0.020210885083469604,0.570775950783994,0.011779687787358543,0.5332786319258278,0.018573080478777457,0.5522104167464124,0.017798767680063582
3class_balanced_fs_filter,RandomForest,cv,0.5853510579630221,0.008486416956942073,0.5363283309987972,0.0190512093889614,0.5742075260219328,0.011738697958019594,0.5504861691378274,0.02098815492602015,0.5310796104207007,0.016613612321099182
3class_balanced_fs_filter,GradientBoosting,cv,0.5952921371143297,0.01461650094552036,0.5450395130620505,0.021851707147516004,0.5822692000268461,0.01759416830930928,0.561468174171567,0.019733661122751697,0.540625534717754,0.022782459092885718
3class_balanced_fs_filter,XGBoost,cv,0.5853858880213625,0.02306517926109129,0.5388426227075371,0.02517847531249232,0.5768705844852532,0.022596580086695253,0.5532883778599651,0.031066435826774597,0.5329563955870936,0.021979079890662383
3class_balanced_fs_filter,SVM,cv,0.5823266478971353,0.015090531153254629,0.5504990652651682,0.01821796705749339,0.5809206365975582,0.016329593733473136,0.5459423753708494,0.017553189262752882,0.5706212615159245,0.009142091324052463
3class_balanced_fs_filter,MLP,cv,0.5922590195338577,0.03310165789321597,0.516738442634235,0.04834687106243032,0.5594314372191814,0.040074793328009166,0.5542059671906852,0.030052525190849323,0.5212045572771338,0.05076732775168208
3class_balanced_fs_filter,Stacking,cv,0.5876527443183468,0.009731759030002382,0.5557963395191143,0.013554908211652112,0.5868536065227887,0.007967354724802662,0.5510619897486704,0.012911787385230963,0.5679891088232428,0.019147207022877234
3class_balanced_fs_wrapper,LogisticRegression,cv,0.5777464952253795,0.024461415548319595,0.5409403179160963,0.02760594287877399,0.5756457386680217,0.023273727348156536,0.5380656880606728,0.027676309974177478,0.555826495012671,0.023035269554576156
3class_balanced_fs_wrapper,RandomForest,cv,0.5556526282181522,0.011953480603524632,0.5198047257434945,0.0061404538971906895,0.5544309579413946,0.008529570156560334,0.5192199313295405,0.007036553237184131,0.5226661263981431,0.007140933332871743
3class_balanced_fs_wrapper,GradientBoosting,cv,0.5968304646910283,0.01848326718672959,0.5495461260814671,0.018375401961944957,0.5851524631479694,0.017424831099556077,0.5689491376763005,0.02569706374455547,0.5428451320229215,0.01773201789888973
3class_balanced_fs_wrapper,XGBoost,cv,0.5793225553652801,0.030626241044127745,0.536249441974956,0.02855116880607315,0.5716030465722621,0.028010693644006088,0.5518321503197343,0.0372116082746185,0.5306160683458099,0.02861689591037534
